brand,title,price,final_resale_price,n_likes,limited,model,condition,m_model,material,color,sold_out,description,mean_retail_price
Louis Vuitton,Pochette Accessoire cloth clutch bag,1080.0,776.0,53.0,1,pochette,Never worn,Pochette Accessoire,Cloth,Brown,1.0,,660.0
Louis Vuitton,Pochette Accessoire cloth clutch bag,495.0,495.0,42.0,1,pochette,Never worn,Pochette Accessoire,Cloth,Brown,1.0,,660.0
Louis Vuitton,Speedy cloth handbag,1480.0,1480.0,52.0,1,speedy,Never worn,Speedy,Cloth,Pink,1.0,,1790.0
Louis Vuitton,Speedy cloth handbag,1880.0,1880.0,59.0,1,speedy,Very good condition,Speedy,Cloth,White,1.0,,1790.0
Louis Vuitton,Speedy cloth handbag,1850.0,1680.0,60.0,1,speedy,Very good condition,Speedy,Cloth,Red,1.0,,1790.0
Louis Vuitton,Speedy leather bowling bag,1150.0,1000.0,42.0,1,speedy,Very good condition,Speedy,Leather,Pink,1.0,,1790.0
Louis Vuitton,Speedy cloth handbag,1359.0,820.0,82.0,1,speedy,Good condition,Speedy,Cloth,Camel,1.0,,1790.0
Louis Vuitton,Neverfull cloth tote,2300.0,2300.0,6.0,1,neverfull,Never worn,Neverfull,Cloth,Multicolour,1.0,,1510.0
Louis Vuitton,Keepall cloth bag,4000.0,2800.0,46.0,1,keepall,Never worn,Keepall,Cloth,Multicolour,1.0,,1850.0
Louis Vuitton,Neverfull cloth handbag,3200.0,3100.0,23.0,1,neverfull,Very good condition,Neverfull,Cloth,Multicolour,1.0,,1510.0
Louis Vuitton,Capucines leather handbag,2500.0,2200.0,215.0,1,capucines,Very good condition,Capucines,Leather,Orange,1.0,,3950.0
Louis Vuitton,Speedy Bandoulière cloth crossbody bag,2050.0,1999.0,6.0,1,speedy,Never worn,Speedy Bandoulière,Cloth,Blue,1.0,,1790.0
Louis Vuitton,NéoNoé cloth handbag,2500.0,2350.0,32.0,1,néonoé,Never worn,NéoNoé,Cloth,Multicolour,1.0,,1660.0
Louis Vuitton,Neverfull cloth tote,1698.0,1099.0,104.0,1,neverfull,Very good condition,Neverfull,Cloth,Brown,1.0,,1070.0
Louis Vuitton,Pochette Accessoire cloth clutch bag,1880.0,1748.0,40.0,1,pochette,Very good condition,Pochette Accessoire,Cloth,Anthracite,1.0,,660.0
Louis Vuitton,Speedy cloth handbag,3099.0,1850.0,126.0,1,speedy,Very good condition,Speedy,Cloth,Multicolour,1.0,,1790.0
Louis Vuitton,Onthego leather tote,2894.71,2894.71,7.0,1,onthego,Never worn,Onthego,Leather,Blue,1.0,,2290.0
Louis Vuitton,Alma patent leather handbag,1500.0,1480.0,18.0,1,alma,Very good condition,Alma,Patent leather,Purple,1.0,,1810.0
Louis Vuitton,Pochette Accessoire cloth clutch bag,420.0,420.0,52.0,1,pochette,Good condition,Pochette Accessoire,Cloth,Ecru,1.0,,660.0
Louis Vuitton,Pochette Accessoire leather clutch bag,450.0,410.0,62.0,1,pochette,Very good condition,Pochette Accessoire,Leather,Green,1.0,,660.0
Louis Vuitton,Twist leather handbag,2895.0,2660.0,24.0,1,twist,Never worn,Twist,Leather,Multicolour,1.0,,2600.0
Louis Vuitton,Speedy Bandoulière shearling handbag,3650.0,3650.0,13.0,1,speedy,Never worn,Speedy Bandoulière,Fur,Black,1.0,,1790.0
Louis Vuitton,Speedy Bandoulière cloth handbag,2750.0,2380.0,23.0,1,speedy,Never worn,Speedy Bandoulière,Cloth,White,1.0,,1790.0
Louis Vuitton,Speedy cloth handbag,2100.0,1850.0,25.0,1,speedy,Never worn,Speedy,Cloth,Blue,1.0,,1790.0
Louis Vuitton,Speedy cloth handbag,4745.0,3995.0,27.0,1,speedy,Very good condition,Speedy,Cloth,White,1.0,,1790.0
Louis Vuitton,Alma cloth handbag,1200.0,1200.0,12.0,1,alma,Good condition,Alma,Cloth,Multicolour,1.0,,1810.0
Louis Vuitton,Speedy glitter bowling bag,2650.0,2625.97,57.0,1,speedy,Very good condition,Speedy,Glitter,Burgundy,1.0,,1790.0
Louis Vuitton,Neverfull cloth tote,2290.0,1900.0,49.0,1,neverfull,Never worn,Neverfull,Cloth,Brown,1.0,,1070.0
Louis Vuitton,Capucines alligator handbag,19800.0,16000.0,183.0,1,capucines,"Never worn, with tag",Capucines,Exotic leathers,Pink,1.0,,21900.0
Louis Vuitton,Neverfull leather tote,495.0,459.0,10.0,1,neverfull,Good condition,Neverfull,Leather,Brown,1.0,,1070.0
Louis Vuitton,Metis cloth crossbody bag,2000.0,1907.79,172.0,1,metis,Very good condition,Metis,Cloth,Brown,1.0,,1742.0
Louis Vuitton,Neverfull cloth tote,2000.0,1900.0,21.0,1,neverfull,Never worn,Neverfull,Cloth,Red,1.0,,1070.0
Louis Vuitton,Pochette Accessoire cloth clutch bag,1750.0,1120.0,63.0,1,pochette,Very good condition,Pochette Accessoire,Cloth,Brown,1.0,,660.0
Louis Vuitton,Pochette Accessoire cloth clutch bag,1250.0,1250.0,30.0,1,pochette,Good condition,Pochette Accessoire,Cloth,Black,1.0,,660.0
Louis Vuitton,Speedy cloth handbag,10000.0,9500.0,53.0,1,speedy,Never worn,Speedy,Cloth,Multicolour,1.0,,1790.0
Louis Vuitton,Capucines leather handbag,7999.0,7999.0,21.0,1,capucines,Very good condition,Capucines,Leather,Black,1.0,,3950.0
Louis Vuitton,Speedy cloth handbag,1939.0,1934.54,7.0,1,speedy,Very good condition,Speedy,Cloth,Brown,1.0,,1790.0
Louis Vuitton,Pochette Accessoire leather bag,527.19,356.53,19.0,1,pochette,Very good condition,Pochette Accessoire,Leather,Brown,1.0,,660.0
Louis Vuitton,Keepall cloth travel bag,1885.39,1876.46,25.0,1,keepall,Very good condition,Keepall,Cloth,White,1.0,,1850.0
Louis Vuitton,Pochette Accessoire cloth clutch bag,625.49,625.49,3.0,1,pochette,Never worn,Pochette Accessoire,Cloth,Pink,1.0,,660.0
